Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,707.000000,707.000000,657.599976,659.599976,634.919495,7008348
2020-03-03,669.000000,684.901978,650.799988,655.200012,630.684143,3920215
2020-03-04,655.200012,658.400024,643.400024,651.000000,626.641296,5098777
2020-03-05,651.400024,658.400024,612.599976,618.599976,595.453613,3677843
2020-03-06,601.599976,607.200012,576.200012,596.000000,573.699280,7812224
2020-03-09,506.600006,566.200012,490.399994,564.000000,542.896606,7899131
2020-03-10,560.400024,602.599976,558.799988,600.000000,577.549622,12792517
2020-03-11,585.000000,606.599976,559.200012,575.400024,553.870056,11310311
2020-03-12,547.000000,548.000000,505.200012,516.599976,497.270172,8955701
2020-03-13,550.599976,567.599976,492.899994,506.799988,487.836884,13968864
2020-03-16,477.899994,486.200012,437.600006,454.100006,437.108795,8679855
2020-03-17,461.200012,480.600006,405.100006,420.899994,405.151031,10853751
2020-03-18,409.399994,414.299988,353.600006,378.100006,363.952515,10167136
2020-03-19,378.700012,391.799988,350.299988,376.000000,361.931091,10147397
2020-03-20,396.100006,420.899994,380.799988,381.299988,367.032745,13529791
2020-03-23,355.399994,396.500000,326.700012,388.600006,374.059631,8824710
2020-03-24,399.399994,425.200012,382.299988,425.200012,409.290161,7365088
2020-03-25,455.000000,480.399994,427.899994,462.000000,444.713196,6169088
2020-03-26,443.100006,480.500000,431.015991,480.500000,462.520966,5517097
2020-03-27,465.399994,487.000000,446.899994,465.299988,447.889709,7076541
2020-03-30,463.100006,484.566986,423.000000,423.000000,407.172455,4183150
2020-03-31,427.700012,484.566986,424.000000,442.600006,426.039093,6146659
2020-04-01,424.600006,427.399994,407.100006,408.899994,393.600037,4808071
2020-04-02,400.399994,412.100006,372.000000,374.899994,360.872253,4836358
2020-04-03,373.100006,386.399994,359.743988,363.700012,350.091339,6618473
2020-04-06,373.600006,391.500000,373.600006,391.500000,376.851105,7741760
2020-04-07,400.100006,438.820007,396.799988,432.200012,416.028259,6063757
2020-04-08,423.899994,450.000000,411.899994,450.000000,433.162201,4383765
2020-04-09,456.100006,468.376007,448.100006,463.100006,445.772034,4093596
2020-04-14,465.100006,470.799988,425.899994,426.200012,410.252747,8917453
2020-04-15,423.399994,433.299988,412.700012,416.799988,401.204437,5824692
2020-04-16,418.000000,442.299988,411.299988,437.399994,421.033630,9740636
2020-04-17,442.299988,462.000000,400.000000,449.399994,432.584656,18616314
2020-04-20,450.000000,467.899994,441.799988,457.200012,440.092804,22356367
2020-04-21,455.500000,460.000000,426.299988,426.299988,410.348999,16556771
2020-04-22,430.399994,444.500000,428.299988,434.600006,418.338440,6290407
2020-04-23,435.399994,437.100006,418.299988,427.000000,411.022797,9151321
2020-04-24,421.500000,429.200012,414.399994,414.399994,398.894226,4504019
2020-04-27,423.500000,431.100006,416.100006,418.100006,402.455811,3285470
2020-04-28,422.200012,459.700012,422.200012,453.600006,436.627502,22229322
